Bahan Makan,VIt. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
Alpukat,7,0.23,13,0,2.07,0.021,0.9,84.3,85,6.5,10,0.9,0,2,20,10,2,278
Semangka,28,0.4,6,0,0.05,0.0001,0.5,92.1,28,0.2,7,0.2,0.4,0.6,12,10,7,93.8
Nanas,0,0.26,22,0,0.02,0.0007,0.6,88.9,40,0.3,22,0.9,0.6,0.5,14,2.125,18,111
Labu (waluh),3.33,0.8,52,0,1.06,0.0011,1.1,91.2.,32,0.1,45,1.4,0.5,0.6,64,66,1,356.2
Buah Naga Merah,3.999,1.3,1,0,0.12,0.0044,1.7,85.7,71,3.1,13,0.4,3.2,1,14,0.1,10,128
Jambu Biji,31,0.85,87,0,0.73,0.0026,0.9,86,49,0.3,14,1.1,2.4,0.6,41,22,20,103
Salak,10,0.04,2,0,0.1,0,0.4,78,77,0,38,4.2,0.3,0.4,18,10.25,0,0
Nangka,10.5,1.17,7,0,0.34,0,1.2,70,106,0.3,20,0.9,3.7,1,19,37,2,407
Jambu Air,0,5,5,0,0.73,0.0026,0.6,87,46,0.2,8,1.1,2.1,0.6,9,8.5,11,321.2
Ketimun,4,0.13,1,0,0.03,0.0164,0.2,97.9,8,0.2,2,0.8,1.4,0.7,95,13,2,57.1
Manggis,10.5,0.39,5,0,0.07,0,0.6,83,63,0.6,23.5,0.8,1.5,0.7,12,13,10,61.9
Rambutan,0.9,0.57,58,0,0.35,0,0.9,80.5,69,0.1,16,0.5,0.8,0.8,16,21.3,16,104.2
Tomat,191,0.6,40,0,0.38,0.0079,0.85,93.7,21,0,5,0.5,1.1,0.9,73,,9,163
Bayam,524,0.15,41,0,2.03,0.4829,0.9,94.5,16,0.4,166,3.5,0.7,2.9,76,24,16,456.4
Kacang Panjang,43,1.1,46,0,0.4,0.019,2.3,91.8,31,0.1,60,0.6,2.7,1.8,64,44,30,213
Kacang Merah,0,1.4,0,0,6.9,0.0001,11,57.2,171,2.2,293,3.7,2.1,7.6,134,140,7,360.7
Kacang Tanah,0,2.11,0,0,8.3,0.0018,27.9,9.6,525,42.7,316,5.7,2.4,25.8,456,168,31,466.5
Terong,1,0.57,5,0,0.3,0.0035,1.1,92.7,28,0.2,15,0.4,2.1,0.8,37,14,9,187
Wortel,835,1.8,18,0,0.66,0.0132,1,89.9,36,0.6,45,1,2.8,0.8,74,12,70,245
Kangkung,6.8,3.43,17,0.0017,1,0.135,3.4,91,28,0.7,67,2.3,2,2.6,54,71,65,250.1
Brokoli,28.21,0.2,61.1,0,0.78,0.1016,3.2,90.5,23.2,0.2,112,1.2,3,2.8,66,21,11,316
Kubis,4.45,0.7,16,0,0.15,0.0076,2.5,86.2,51,1.1,100,3.4,3.4,1.3,50,12,50,100
Sawi,1.8,1.02,102,0,2.01,0.2575,2.3,92.2,28,0.3,220,0.2,2.5,2.8,38,24,22,436.5
Buncis,35,3.25,11,0,0.3,0.043,2.4,89.6,34,0.3,101,0.3,1.9,1.8,42,25,8,250
Labu Siam,30,0.62,18,0,0.2,0.0001,0.6,92.3,30,0.1,14,0.5,6.2,0.6,25,12,3,167.1
Daun Singkong,241,1.94,103,0,0.5,0.0019,6.2,84.4,50,1.1,166,1.3,2.4,1.6,99,43,17,23.1
Daun Katuk,3324.9,2.61,164,0,1.2,0.6,6.4,81,59,1,233,3.5,1.5,6.7,98,120,21,478.8
Daun Kelor,378,4.6,22,0,0.1,0.108,5.1,75.5,92,1.6,1077,6,8.2,8,76,25,61,298
Kacang Hijau,7.2,1.61,10,0,8.3,0.033,22.9,15.5,323,1.5,223,7.5,7.5,7.1,319,189,42,815.7
Daun Pepaya,3324.9,2.55,140,0,40,0,8,75.4,87,2,353,0.8,1.5,1.5,63,32,4,926.6
Jamur Tiram,14.4,1.5,0,0.7,0,0,1.9,92.5,30,0.1,9,0.7,3.6,3.1,83,18,22,256
Bunga Kol,1,0.8,69,0,0.08,0.0155,2.4,91.7,25,0.2,22,1.1,1.6,2.6,72,0.155,47,187
